listed_date,symbol
1991-08-07,NTP.N
1993-07-26,SHI.N
1994-10-05,HNP.N
1994-12-16,CYD.N
1995-03-10,CHNR.O
1995-07-20,DSWL.O
1996-12-10,HIHO.O
1997-02-04,CEA.N
1997-03-14,CLWT.O
1997-07-30,ZNH.N
2000-03-03,UTSI.O
2000-04-06,PTR.N
2000-06-30,NTES.O
2000-07-12,SOHU.O
2000-08-23,OIIM.O
2000-10-18,SNP.N
2001-12-11,ACH.N
2003-12-09,TCOM.O
2003-12-17,LFC.N
2004-08-24,CAAS.O
2004-09-29,JOBS.O
2004-10-15,JRJC.O
2004-12-08,SVA.O
2004-12-15,NCTY.O
2005-08-05,BIDU.O
2005-08-09,ATCO.N
2005-11-09,SEED.O
2006-05-31,CBAT.O
2006-09-07,EDU.N
2006-09-12,TAOP.O
2006-11-09,CSIQ.O
2006-12-19,MLCO.O
2006-12-19,FFHL.O
2007-10-03,MARK.O
2007-10-31,FANH.O
2007-11-07,ANTE.O
2007-12-12,XIN.N
2007-12-17,AEHL.O
2008-01-29,AACG.O
2008-01-29,SOL.N
2008-03-18,KNDI.O
2008-04-09,SGOC.O
2008-05-21,SINO.O
2008-07-16,EVK.O
2008-08-01,HOLI.O
2009-02-17,SVM.A
2009-03-09,CGA.N
2009-07-30,RCON.O
2009-09-08,PLAG.A
2009-09-30,CPHI.A
2009-10-27,GURE.O
2009-10-29,FTFT.O
2009-11-02,CSCW.O
2009-11-19,CO.N
2009-11-27,CXDC.O
2009-12-11,CCM.N
2009-12-17,ITP.A
2010-03-04,CNET.O
2010-03-22,CREG.O
2010-03-26,HTHT.O
2010-04-22,NEGG.O
2010-04-22,CJJD.O
2010-05-14,JKS.N
2010-08-05,AMBO.A
2010-09-13,HGSH.O
2010-09-17,SFUN.N
2010-10-04,BIMI.O
2010-10-07,DQ.N
2010-10-20,TAL.N
2010-11-10,NOAH.N
2010-11-23,DXF.A
2010-12-21,OSN.O
2011-04-21,VNET.O
2011-05-04,RENN.N
2011-05-12,FENG.N
2011-08-02,PME.O
2012-03-23,VIPS.N
2012-05-30,IDEX.O
2012-11-21,YY.O
2013-01-23,KBSF.O
2013-06-06,LITB.N
2013-08-13,GLG.O
2013-11-22,BTCM.N
2013-12-11,ATHM.N
2014-01-17,NVFY.O
2014-04-03,TEDU.O
2014-04-17,LEJU.N
2014-04-17,WB.O
2014-05-08,CMCM.N
2014-05-09,TOUR.O
2014-05-22,JD.O
2014-06-24,XNET.O
2014-09-19,BABA.N
2014-12-11,MOMO.O
2015-03-24,TANH.O
2015-04-08,MFH.O
2015-05-21,BZUN.O
2015-06-01,BTB.O
2015-07-07,HLG.O
2015-07-16,JP.N
2015-10-29,BRQS.O
2015-12-18,YRD.N
2015-12-21,CCRC.O
2015-12-29,CCNC.O
2016-01-19,SPI.O
2016-02-03,BGNE.O
2016-03-17,HCM.O
2016-06-10,COE.N
2016-09-28,TYHT.O
2016-10-17,YUMC.N
2016-10-27,ZTO.N
2016-11-02,GDS.O
2016-11-15,MOXC.O
2016-12-27,NISN.O
2017-03-09,BYSI.O
2017-03-22,TKAT.A
2017-04-28,SOS.N
2017-05-18,BEDU.N
2017-07-28,NEWA.O
2017-08-08,HUSN.O
2017-09-01,ZKIN.O
2017-09-20,BEST.N
2017-09-20,ZLAB.O
2017-09-21,PETZ.O
2017-09-22,SECO.O
2017-09-27,RYB.N
2017-10-18,QD.N
2017-10-20,LYL.O
2017-10-20,REDU.O
2017-11-03,HX.O
2017-11-06,KXIN.O
2017-11-08,FEDU.N
2017-11-09,SOGO.N
2017-11-10,FINV.N
2017-11-16,JT.N
2017-11-29,RETO.O
2017-12-20,DOGZ.O
2017-12-21,LX.O
2017-12-22,ICLK.O
2018-02-08,ZEPP.N
2018-02-16,FAMI.O
2018-03-16,AIHS.O
2018-03-20,BTBT.O
2018-03-23,STG.N
2018-03-27,GHG.N
2018-03-28,ONE.N
2018-03-28,BILI.O
2018-03-29,IQ.O
2018-04-18,AGMH.O
2018-05-11,HUYA.N
2018-05-24,CLPS.O
2018-06-15,NEW.N
2018-06-27,UXIN.O
2018-07-26,PDD.O
2018-07-26,CANG.N
2018-07-26,JG.O
2018-07-27,NFH.N
2018-08-08,GTEC.O
2018-09-12,YI.O
2018-09-12,GSMG.O
2018-09-12,NIO.N
2018-09-14,QTT.O
2018-09-19,XYF.N
2018-09-25,VIOT.O
2018-09-27,LAIX.N
2018-09-28,CTK.N
2018-10-18,MSC.N
2018-10-19,NIU.O
2018-10-25,PT.O
2018-11-07,CNF.N
2018-11-15,WEI.N
2018-11-20,TC.O
2018-12-06,MOGU.N
2018-12-12,TME.N
2018-12-14,QFIN.O
2018-12-18,APM.O
2018-12-19,DTSS.O
2018-12-27,PHCF.O
2019-01-04,SXTC.O
2019-01-08,MDJH.O
2019-01-08,LKCO.O
2019-01-08,MTC.O
2019-03-07,SJ.O
2019-03-08,FUTU.O
2019-03-20,TIGR.O
2019-03-29,PUYI.O
2019-04-02,PBTS.O
2019-04-30,WAFU.O
2019-05-02,SY.O
2019-05-03,YJ.O
2019-05-03,ATIF.O
2019-05-10,JFIN.O
2019-05-14,AGBAU.O
2019-06-06,GOTU.N
2019-06-12,CIH.O
2019-07-17,DOYU.O
2019-07-26,BHAT.O
2019-07-31,AGBA.O
2019-08-05,HKIB.N
2019-08-14,PLIN.O
2019-08-15,JFU.O
2019-10-25,AIH.O
2019-10-25,HAPP.O
2019-10-25,DAO.N
2019-11-01,DUO.O
2019-11-05,QK.O
2019-11-07,UK.O
2019-11-08,KRKR.O
2019-11-08,MOHO.O
2019-11-21,CAN.O
2019-12-12,EH.O
2019-12-13,OCFT.N
2019-12-30,MKD.O
2020-01-17,LIZI.O
2020-01-17,IMAB.O
2020-01-30,ANPC.O
2020-02-12,HUIZ.O
2020-02-19,ZGYHU.O
2020-02-24,ZCMD.O
2020-03-31,METX.O
2020-04-01,WIMI.O
2020-05-01,NVVE.O
2020-05-08,KC.O
2020-05-08,CLEU.O
2020-05-22,ZGYH.O
2020-06-05,DADA.O
2020-06-05,LEGN.O
2020-06-10,UCL.O
2020-06-12,BNR.O
2020-06-17,LGHL.O
2020-06-19,GTH.O
2020-06-26,EBON.O
2020-06-26,API.O
2020-07-08,BLCT.O
2020-07-10,QH.O
2020-07-23,EDTK.O
2020-07-30,LI.O
2020-08-13,BEKE.N
2020-08-27,XPEV.N
2020-09-30,CD.O
2020-09-30,BQ.N
2020-10-01,LXEH.O
2020-10-09,IH.N
2020-10-15,MNSO.N
2020-10-21,YGMZ.O
2020-10-30,LU.N
2020-11-19,YSG.N
2020-12-04,YQ.O
2020-12-15,WNW.O
2020-12-15,OCG.O
2021-01-08,GRCL.O
2021-01-12,KUKE.N
2021-01-12,QLI.O
2021-01-22,HUDI.O
2021-01-22,RLX.N
2021-01-26,EZGO.O
2021-01-27,TIRX.O
2021-02-05,CNEY.O
2021-02-08,BAOS.O
2021-02-09,RAAS.N
2021-02-09,ADAG.O
2021-02-09,SDH.O
2021-03-11,FHS.N
2021-03-17,JWEL.O
2021-03-18,TUYA.N
2021-03-19,CNTB.O
2021-03-23,UPC.O
2021-03-26,ZH.N
2021-03-26,HYW.O
2021-04-01,EM.O
2021-04-06,UTME.O
2021-04-15,TSP.O
2021-04-20,IFBD.O
2021-05-07,WDH.N
2021-05-07,OG.N
2021-05-14,EJH.O
2021-05-18,JZXN.O
2021-06-08,ZME.N
2021-06-11,BZ.O
2021-06-18,RERE.N
2021-06-22,YMM.N
2021-06-24,BON.O
2021-06-25,MF.O
2021-06-29,DDL.N
2021-06-30,CPOP.O
2021-06-30,DIDI.N
